id,prompt
P136,published cage sings 1970s
P279,isn nicknamed alcohol encoded
P1376,reunification nicknamed proper of
P159,alessandro eventually headquartered in
P30,penguin geo mapping east
P108,sued simulator einstein against
P1001,##phobic sovereign entity representing
P364,fluent predominantly actress speaks
P463,destroying civilizations delegation assisting
P47,（ near borders near
P527,are french bonds consuming
P37,bergman was translated ##utable
P495,lacks olympic winner representing
P27,ﬁ olympic debut represented
P449,denied syndicated broadcast rejoined
P106,diagrams widely born canadian
P407,canucks translates poems in
P1303,listeners trombone amos electric
P1412,helsinki ##vant speaks urban
P190,swallowed consulate munich consulate
P740,booked auditioned ##ises downtown
P138,deposition latin literally honours
P131,guinness district encompassed southeastern
P178,pitted developers commodore versus
P101,libretto galen hilbert studying
P276,¨ colloquially based in
P39,smarter superhero rightful diocesan
P31,is embankment longest charting
P20,crosby installation biennale auditorium
P413,iihf rookie aa attacking
P103,players ##odon ##vier speaks
P140,guerrillas swami practices sunni
P530,##thic visa ##tania unlike
P176,owns sibling jose ##ry
P127,garfield database embassy @
P19,1086 logos studio in
P17,fled national handball representing
P36,bwv territorial headquartered in
P937,", museum national museums"
P264,blowing monarchy isbn burning
P361,is ##hedral analogy to
