id,prompt
P1001,belief pedestrian illegal throughout
P1001,belief pedestrian illegal throughout
P1001,belief pedestrian illegal throughout
P101,recruits ##physics ᵇ teaches
P103,japanese ##urt architect fluent
P106,robert barack an american
P108,retired computer career joining
P127,inventor flagship designer represents
P1303,drums pianist schwarz solo
P131,ˈ served highways in
P136,star ones cs contemporary
P1376,county 00pm name representing
P138,snowfall eponymous ##ally hms
P140,christ stages historically sunni
P1412,ø born speaking fluent
P159,corp sherry museum outside
P17,represents team inter ##athlon
P176,##sation denoted ##bis ##oft
P178,console plaintiffs commodore versus
P19,neighborhoods benevolent gallery in
P190,consulate nyc rival ##led
P20,gaulle attorney gallery in
P264,freedom citizenship ##iva golden
P27,engraver slalom champion represent
P276,commemorates events headquartered in
P279,refers technically belly ##ified
P30,initials wikipedia antarctic off
P31,is ##logue eponymous greenwich
P36,##raße chiefly headquartered near
P361,are fundamentally predecessor to
P364,roma lyricist speaks fluent
P37,gmina ##nen speaks legally
P39,sacred elected ##ally consecrated
P407,ᶜ eurovision mainly speaks
P413,retired american ncaa footballer
P449,series on dupont letterman
P463,inscribed assisting 1994 destination
P47,favored twinned geographically alongside
P495,¹ chart bestseller in
P527,roofed too resembles ##tituted
P530,koreans tel ##ili represented
P740,skate ##beat museum in
P937,competes kunst bourgeois greater
P1001,examples 1800s police invaded
P101,recruits ##physics ᵇ teaches
P103,##dya ##oms architect fluent
P106,emmanuel bloomberg an american
P108,retired computer telecommunications joining
P127,wept logo delegate represents
P1303,vinyl ##nova sings rhodes
P131,played serving highways in
P136,star ones cs contemporary
P1376,county ـ associated representing
P138,##¨ slang ##ably :
P140,christ stages historically sunni
P1412,oclc ##hel speaks normal
P159,robbed chorus studios :
P17,represents team inter ##athlon
P176,livery bei ##bis ##oft
P178,computer dismissed ##nami sued
P19,realised two immigrants near
P190,consulate nyc rival ##led
P20,subdivisions gay museum in
P264,freedom citizenship ##ever golden
P27,goalscorer represents foreigners visiting
P276,earned club based in
P279,owes nicknamed entirely binding
P30,voters wikipedia antarctic off
P31,is ##logue eponymous greenwich
P36,accidents correctional institution near
P361,##eter unlike rival ##ling
P364,roma lyricist speaks fluent
P37,estonian ##uda speaks ##ually
P39,extinct elects ##ally consecrated
P407,hydroelectric slang % speaks
P413,retired american ncaa footballer
P449,series on dupont letterman
P463,whaling inscribed 2011 destination
P47,economy southeast directly neighbouring
P495,faculties video licensed in
P527,consists involves news ##tituted
P530,koreans tel ##ili represented
P740,presents mtv theatre in
P937,mps universite biennale greater
