id,prompt
P136,qin symphony 1960s noir
P279,pudding bacterium unicode sipping
P1376,dan samoa married miss
P159,europe canadian janeiro and
P30,floating longest antarctic outside
P108,defending oracle corporation defending
P1001,followed eritrea scotia bordering
P364,fluent swimmers speak ##s
P463,declaration dresden unicef athens
P47,##nga ##vich mls visits
P527,invented sausage lithium versus
P37,##ː ##bib ##inen speaks
P495,rebounds represented usa against
P27,representing czechoslovakia colon ##ise
P449,poems letterman abc letterman
P106,investor lenin musician turned
P407,translit ##jevic having fluent
P1303,ives trombone rothschild electric
P1412,filmed johansson having fluent
P190,accompanied amtrak attache at
P740,remix headlined residency in
P138,##ator josef launched uss
P131,affected midwest gibraltar affecting
P178,studios motorola xbox studios
P101,##phus ##physics resembling modern
P276,travelled hampstead jul visited
P39,trump diocese candidate becoming
P31,poet leaked untitled greenwich
P20,ltd fulbright galerie in
P413,hockey junior staunch defensive
P103,speaks fluent siberian ##itaire
P140,practised islamic ##sso ##rained
P530,competed papua macedonia defeated
P176,jeans apple peugeot akira
P127,support munich proceeds support
P19,italian usa consul near
P17,qualified tehran england beats
P36,defeated hemingway precinct representing
P937,gallery rockwell europe in
P264,individuals innovation sired miss
P361,countries fulbright dubbed computational
