id,prompt
P136,clients owns location uss
P279,finalist archaeologist biennale @
P159,satellite rations uses pure
P30,languages john janeiro ↔
P108,##off bloomberg inhabit northeast
P1001,visa ᴬ ambassador visited
P364,catalonia ulysses parc golden
P463,global whilst milwaukee whilst
P47,majority khmer palestinians practiced
P527,england ##¨ consulate in
P37,backseat beside mustang ##less
P495,trek starred abc and
P27,qc an quebec born
P449,doubles prix ##umi represented
P106,diocese qc ambassador to
P407,indo karma slalom ancient
P1303,paid daniel kanye of
P1412,von booth galerie in
P190,waves mls born guard
P740,stamps affected cites contacted
P138,livingston island charts mainland
P131,convicted sacked software sued
P178,iata entries belgian replaced
P101,collection vertigo embassy in
P276,##nesian unicode edible reactive
P39,2014 galerie hopkins in
P31,helped coached uefa visited
P20,medical physicist revive descriptive
P413,uzbekistan galerie asia in
P103,##nding acquisitions xbox oversees
P140,trains isil scotia through
P530,yoga zambia scotia ##abia
P176,fluent goran ##inen spoke
P127,puzzles limited strings upright
P19,elects usl papal deputy
P17,samples soundtrack portage greenwich
P36,roast spicy classic vocal
P937,##ð ##ħ has fluent
P264,kerala syrian switzerland speak
P361,sweden milos reportedly speaks
